Referrer Zip Code,Days between Records Requested and Received Median,Days between Records Requested and Received Q1,Days between Records Requested and Received Q3,Days between Records Requested and Received Iqr,Days between Films Requested and Received Median,Days between Films Requested and Received Q1,Days between Films Requested and Received Q3,Days between Films Requested and Received Iqr,Days between Initial Contact and IV Median,Days between Initial Contact and IV Q1,Days between Initial Contact and IV Q3,Days between Initial Contact and IV Iqr,Days between Initial Contact and Surgery Median,Days between Initial Contact and Surgery Q1,Days between Initial Contact and Surgery Q3,Days between Initial Contact and Surgery Iqr,Number of Records
25526,50.5,26.75,74.25,47.5,51.0,27.5,74.5,47.0,51.0,51.0,51.0,0.0,52.0,52.0,52.0,0.0,2
24701,19.0,19.0,19.0,0.0,12.0,12.0,12.0,0.0,38.5,36.25,40.75,4.5,,,,,2
24870,2.0,2.0,2.0,0.0,3.0,3.0,3.0,0.0,37.0,37.0,37.0,0.0,,,,,2
24874,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,17.0,17.0,17.0,0.0,,,,,2
24918,12.0,11.5,12.5,1.0,10.5,8.25,12.75,4.5,35.0,35.0,35.0,0.0,,,,,2
24925,33.5,33.25,33.75,0.5,34.0,34.0,34.0,0.0,89.5,71.75,107.25,35.5,,,,,2
23220,,,,,4.0,4.0,4.0,0.0,37.0,37.0,37.0,0.0,39.0,39.0,39.0,0.0,2
23222,,,,,,,,,72.0,72.0,72.0,0.0,,,,,2
25309,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,46.0,43.5,48.5,5.0,,,,,2
25419,5.0,3.5,6.5,3.0,7.0,4.5,9.5,5.0,32.5,27.25,37.75,10.5,44.0,44.0,44.0,0.0,2
25420,0.0,0.0,0.0,0.0,9.5,6.75,12.25,5.5,,,,,,,,,2
22305,,,,,5.0,4.5,5.5,1.0,,,,,,,,,2
22026,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2
25438,1.5,1.25,1.75,0.5,9.0,9.0,9.0,0.0,-146.5,-244.25,-48.75,195.5,,,,,2
25443,12.0,12.0,12.0,0.0,5.5,4.75,6.25,1.5,47.0,47.0,47.0,0.0,,,,,2
25504,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,,,,,,,,,2
28204,29.5,14.75,44.25,29.5,40.0,30.5,49.5,19.0,135.0,135.0,135.0,0.0,,,,,2
28205,0.0,0.0,0.0,0.0,13.0,13.0,13.0,0.0,14.0,14.0,14.0,0.0,,,,,2
28215,3.0,3.0,3.0,0.0,5.5,4.25,6.75,2.5,46.5,37.75,55.25,17.5,48.0,39.0,57.0,18.0,2
23086,,,,,13.0,13.0,13.0,0.0,,,,,,,,,2
22922,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,203.0,111.5,294.5,183.0,,,,,2
25832,3.0,3.0,3.0,0.0,14.0,14.0,14.0,0.0,40.5,38.75,42.25,3.5,,,,,2
25311,26.0,26.0,26.0,0.0,,,,,,,,,,,,,2
25302,85.5,44.25,126.75,82.5,87.0,46.5,127.5,81.0,121.5,84.25,158.75,74.5,48.0,48.0,48.0,0.0,2
28609,7.0,5.0,9.0,4.0,8.0,8.0,8.0,0.0,23.5,18.75,28.25,9.5,,,,,2
20116,1.0,1.0,1.0,0.0,,,,,37.0,37.0,37.0,0.0,,,,,2
20117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2
18966,3.5,2.75,4.25,1.5,7.5,4.75,10.25,5.5,42.0,42.0,42.0,0.0,44.0,44.0,44.0,0.0,2
19063,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,42.0,32.0,52.0,20.0,23.0,23.0,23.0,0.0,2
28697,6.0,6.0,6.0,0.0,12.0,12.0,12.0,0.0,48.0,48.0,48.0,0.0,,,,,2
28117,8.0,5.0,11.0,6.0,14.0,14.0,14.0,0.0,73.5,68.25,78.75,10.5,60.0,60.0,60.0,0.0,2
28150,7.0,7.0,7.0,0.0,5.5,4.75,6.25,1.5,72.0,70.5,73.5,3.0,,,,,2
29016,,,,,,,,,14.0,14.0,14.0,0.0,,,,,2
24402,,,,,,,,,,,,,,,,,2
24431,2.0,2.0,2.0,0.0,,,,,,,,,,,,,2
24439,,,,,5.0,5.0,5.0,0.0,69.0,69.0,69.0,0.0,,,,,2
23150,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,,,,,,,,,2
23192,3.0,3.0,3.0,0.0,94.0,63.0,125.0,62.0,123.0,123.0,123.0,0.0,,,,,2
23120,2.0,2.0,2.0,0.0,,,,,28.0,28.0,28.0,0.0,,,,,2
23149,3.0,3.0,3.0,0.0,24.0,24.0,24.0,0.0,40.0,40.0,40.0,0.0,,,,,2
29349,21.0,21.0,21.0,0.0,4.0,3.5,4.5,1.0,59.5,44.75,74.25,29.5,90.0,90.0,90.0,0.0,2
28732,4.0,4.0,4.0,0.0,15.0,9.5,20.5,11.0,34.0,34.0,34.0,0.0,66.0,66.0,66.0,0.0,2
28778,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2
28705,,,,,8.0,8.0,8.0,0.0,16.0,16.0,16.0,0.0,17.0,17.0,17.0,0.0,2
28712,3.0,3.0,3.0,0.0,7.0,7.0,7.0,0.0,47.0,47.0,47.0,0.0,48.0,48.0,48.0,0.0,2
28731,18.0,18.0,18.0,0.0,74.0,74.0,74.0,0.0,110.0,110.0,110.0,0.0,,,,,2
28748,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2
28754,14.0,14.0,14.0,0.0,12.5,11.75,13.25,1.5,76.0,72.5,79.5,7.0,,,,,2
29676,6.0,6.0,6.0,0.0,3.5,2.25,4.75,2.5,50.0,50.0,50.0,0.0,,,,,2
17268,31.5,20.25,42.75,22.5,33.0,21.0,45.0,24.0,74.0,72.5,75.5,3.0,,,,,2
29061,0.5,0.25,0.75,0.5,,,,,,,,,,,,,2
29150,6.0,5.5,6.5,1.0,18.0,18.0,18.0,0.0,57.5,37.75,77.25,39.5,98.0,98.0,98.0,0.0,2
29209,5.0,4.0,6.0,2.0,8.5,7.25,9.75,2.5,52.5,49.75,55.25,5.5,,,,,2
29445,3.0,3.0,3.0,0.0,18.0,18.0,18.0,0.0,47.0,47.0,47.0,0.0,,,,,2
29322,,,,,1.0,1.0,1.0,0.0,43.0,43.0,43.0,0.0,,,,,2
29334,4.0,3.0,5.0,2.0,5.5,5.25,5.75,0.5,54.0,54.0,54.0,0.0,55.0,55.0,55.0,0.0,2
23224,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,5.0,5.0,5.0,0.0,,,,,2
22959,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,2
24421,,,,,,,,,56.0,56.0,56.0,0.0,,,,,2
24554,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,2
24555,,,,,5.0,5.0,5.0,0.0,20.0,20.0,20.0,0.0,,,,,2
29615,3.0,3.0,3.0,0.0,6.0,4.5,7.5,3.0,36.5,29.75,43.25,13.5,,,,,2
29617,6.0,6.0,6.0,0.0,12.5,9.25,15.75,6.5,40.0,40.0,40.0,0.0,,,,,2
29651,,,,,,,,,85.0,85.0,85.0,0.0,,,,,2
25535,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,47.5,37.75,57.25,19.5,,,,,2
25608,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,27.5,24.25,30.75,6.5,,,,,2
25844,,,,,,,,,23.0,23.0,23.0,0.0,,,,,2
24277,,,,,,,,,148.0,148.0,148.0,0.0,,,,,2
24314,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2
24380,10.5,5.25,15.75,10.5,6.0,4.0,8.0,4.0,44.0,44.0,44.0,0.0,,,,,2
23661,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,36.0,36.0,36.0,0.0,,,,,2
23662,1.0,1.0,1.0,0.0,7.0,7.0,7.0,0.0,28.0,28.0,28.0,0.0,,,,,2
21108,2.0,1.5,2.5,1.0,7.0,5.0,9.0,4.0,51.0,51.0,51.0,0.0,52.0,52.0,52.0,0.0,2
21122,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,43.0,29.0,57.0,28.0,,,,,2
21146,,,,,,,,,,,,,,,,,2
21208,13.0,13.0,13.0,0.0,9.5,7.75,11.25,3.5,,,,,,,,,2
21403,19.0,19.0,19.0,0.0,19.0,19.0,19.0,0.0,84.0,84.0,84.0,0.0,,,,,2
21532,,,,,,,,,8.0,8.0,8.0,0.0,,,,,2
26704,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,33.0,33.0,33.0,0.0,,,,,2
26726,5.0,5.0,5.0,0.0,3.0,2.0,4.0,2.0,55.0,55.0,55.0,0.0,,,,,2
27205,32.5,22.75,42.25,19.5,34.0,23.5,44.5,21.0,28.0,28.0,28.0,0.0,,,,,2
27214,11.0,11.0,11.0,0.0,26.0,26.0,26.0,0.0,47.0,47.0,47.0,0.0,,,,,2
25951,2.5,1.75,3.25,1.5,3.0,2.0,4.0,2.0,48.0,48.0,48.0,0.0,,,,,2
25969,2.0,1.5,2.5,1.0,28.5,17.75,39.25,21.5,66.5,46.25,86.75,40.5,,,,,2
26651,5.0,5.0,5.0,0.0,2.0,2.0,2.0,0.0,42.0,42.0,42.0,0.0,47.0,47.0,47.0,0.0,2
