Referrer Zip Code,Days between Records Requested and Received Median,Days between Records Requested and Received Q1,Days between Records Requested and Received Q3,Days between Records Requested and Received Iqr,Days between Films Requested and Received Median,Days between Films Requested and Received Q1,Days between Films Requested and Received Q3,Days between Films Requested and Received Iqr,Days between Initial Contact and IV Median,Days between Initial Contact and IV Q1,Days between Initial Contact and IV Q3,Days between Initial Contact and IV Iqr,Days between Initial Contact and Surgery Median,Days between Initial Contact and Surgery Q1,Days between Initial Contact and Surgery Q3,Days between Initial Contact and Surgery Iqr,Number of Records
71644,78.0,78.0,78.0,0.0,78.0,78.0,78.0,0.0,117.0,117.0,117.0,0.0,119.0,119.0,119.0,0.0,1
71854,,,,,,,,,121.0,121.0,121.0,0.0,,,,,1
71913,,,,,4.0,4.0,4.0,0.0,28.0,28.0,28.0,0.0,,,,,1
71941,,,,,,,,,,,,,,,,,1
72040,5.0,5.0,5.0,0.0,,,,,35.0,35.0,35.0,0.0,43.0,43.0,43.0,0.0,1
72067,,,,,,,,,,,,,,,,,1
72204,,,,,6.0,6.0,6.0,0.0,-297.0,-297.0,-297.0,0.0,,,,,1
72223,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,44.0,44.0,44.0,0.0,49.0,49.0,49.0,0.0,1
72227,4.0,4.0,4.0,0.0,,,,,37.0,37.0,37.0,0.0,,,,,1
72758,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,,,,,,,,,1
72761,21.0,21.0,21.0,0.0,21.0,21.0,21.0,0.0,,,,,,,,,1
73018,11.0,11.0,11.0,0.0,18.0,18.0,18.0,0.0,89.0,89.0,89.0,0.0,90.0,90.0,90.0,0.0,1
73069,,,,,,,,,,,,,,,,,1
73071,26.0,26.0,26.0,0.0,26.0,26.0,26.0,0.0,76.0,76.0,76.0,0.0,,,,,1
73072,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,13.0,13.0,13.0,0.0,22.0,22.0,22.0,0.0,1
74003,5.0,5.0,5.0,0.0,,,,,,,,,,,,,1
74006,11.0,11.0,11.0,0.0,11.0,11.0,11.0,0.0,83.0,83.0,83.0,0.0,84.0,84.0,84.0,0.0,1
74012,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,84.0,84.0,84.0,0.0,85.0,85.0,85.0,0.0,1
74105,24.0,24.0,24.0,0.0,20.0,20.0,20.0,0.0,82.0,82.0,82.0,0.0,,,,,1
74344,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
74845,3.0,3.0,3.0,0.0,,,,,,,,,,,,,1
75093,,,,,,,,,,,,,,,,,1
75755,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,,,,,,,,,1
76126,,,,,28.0,28.0,28.0,0.0,,,,,,,,,1
76308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1
77092,,,,,,,,,,,,,,,,,1
77095,38.0,38.0,38.0,0.0,,,,,,,,,,,,,1
77429,,,,,,,,,,,,,,,,,1
77831,,,,,,,,,,,,,,,,,1
77833,,,,,,,,,,,,,,,,,1
24243,,,,,,,,,,,,,,,,,1
24244,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,,,,,,,,,1
24250,5.0,5.0,5.0,0.0,55.0,55.0,55.0,0.0,98.0,98.0,98.0,0.0,,,,,1
24251,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,64.0,64.0,64.0,0.0,,,,,1
23967,,,,,7.0,7.0,7.0,0.0,82.0,82.0,82.0,0.0,,,,,1
23974,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,98.0,98.0,98.0,0.0,99.0,99.0,99.0,0.0,1
24007,,,,,,,,,,,,,,,,,1
24011,,,,,,,,,,,,,,,,,1
24077,0.0,0.0,0.0,0.0,34.0,34.0,34.0,0.0,57.0,57.0,57.0,0.0,,,,,1
24087,77.0,77.0,77.0,0.0,77.0,77.0,77.0,0.0,132.0,132.0,132.0,0.0,,,,,1
24089,,,,,8.0,8.0,8.0,0.0,,,,,,,,,1
24065,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
24068,1.0,1.0,1.0,0.0,9.0,9.0,9.0,0.0,,,,,,,,,1
24069,,,,,,,,,,,,,,,,,1
24072,,,,,2.0,2.0,2.0,0.0,30.0,30.0,30.0,0.0,,,,,1
24237,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,113.0,113.0,113.0,0.0,116.0,116.0,116.0,0.0,1
10308,,,,,,,,,15.0,15.0,15.0,0.0,18.0,18.0,18.0,0.0,1
10573,,,,,,,,,,,,,,,,,1
10580,3.0,3.0,3.0,0.0,,,,,,,,,,,,,1
10598,,,,,3.0,3.0,3.0,0.0,,,,,,,,,1
24100,,,,,,,,,12.0,12.0,12.0,0.0,14.0,14.0,14.0,0.0,1
24101,2.0,2.0,2.0,0.0,,,,,,,,,,,,,1
24104,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,,,,,,,,,1
24122,,,,,,,,,,,,,,,,,1
87123,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,40.0,40.0,40.0,0.0,41.0,41.0,41.0,0.0,1
87507,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,104.0,104.0,104.0,0.0,105.0,105.0,105.0,0.0,1
87544,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,63.0,63.0,63.0,0.0,,,,,1
87556,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,35.0,35.0,35.0,0.0,40.0,40.0,40.0,0.0,1
88260,15.0,15.0,15.0,0.0,15.0,15.0,15.0,0.0,41.0,41.0,41.0,0.0,,,,,1
90046,,,,,,,,,,,,,,,,,1
10023,,,,,,,,,69.0,69.0,69.0,0.0,,,,,1
10024,3.0,3.0,3.0,0.0,350.0,350.0,350.0,0.0,,,,,,,,,1
23690,19.0,19.0,19.0,0.0,19.0,19.0,19.0,0.0,34.0,34.0,34.0,0.0,,,,,1
24016,,,,,,,,,2.0,2.0,2.0,0.0,,,,,1
24225,6.0,6.0,6.0,0.0,,,,,36.0,36.0,36.0,0.0,37.0,37.0,37.0,0.0,1
24226,,,,,17.0,17.0,17.0,0.0,,,,,,,,,1
24171,,,,,,,,,16.0,16.0,16.0,0.0,17.0,17.0,17.0,0.0,1
24176,,,,,14.0,14.0,14.0,0.0,,,,,,,,,1
24184,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,,,,,,,,,1
24147,0.0,0.0,0.0,0.0,17.0,17.0,17.0,0.0,43.0,43.0,43.0,0.0,51.0,51.0,51.0,0.0,1
23842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1
23844,,,,,,,,,6.0,6.0,6.0,0.0,,,,,1
23704,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,1
23803,4.0,4.0,4.0,0.0,,,,,4696.0,4696.0,4696.0,0.0,,,,,1
23806,78.0,78.0,78.0,0.0,78.0,78.0,78.0,0.0,139.0,139.0,139.0,0.0,,,,,1
23824,2.0,2.0,2.0,0.0,12.0,12.0,12.0,0.0,49.0,49.0,49.0,0.0,,,,,1
23827,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,21.0,21.0,21.0,0.0,,,,,1
23668,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,,,,,,,,,1
23930,,,,,,,,,,,,,,,,,1
24127,,,,,,,,,2.0,2.0,2.0,0.0,,,,,1
24128,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,0.0,,,,,1
24133,,,,,,,,,,,,,,,,,1
24137,0.0,0.0,0.0,0.0,,,,,10.0,10.0,10.0,0.0,,,,,1
23885,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
23837,,,,,1.0,1.0,1.0,0.0,,,,,,,,,1
23840,11.0,11.0,11.0,0.0,7.0,7.0,7.0,0.0,,,,,,,,,1
23937,,,,,,,,,,,,,,,,,1
23943,,,,,,,,,64.0,64.0,64.0,0.0,,,,,1
23944,,,,,,,,,35.0,35.0,35.0,0.0,,,,,1
23950,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,36.0,36.0,36.0,0.0,,,,,1
23963,,,,,,,,,106.0,106.0,106.0,0.0,,,,,1
23887,0.0,0.0,0.0,0.0,,,,,6.0,6.0,6.0,0.0,,,,,1
23917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1
23927,,,,,,,,,,,,,,,,,1
24324,6.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,19.0,19.0,19.0,0.0,24.0,24.0,24.0,0.0,1
24328,,,,,,,,,,,,,,,,,1
24330,26.0,26.0,26.0,0.0,26.0,26.0,26.0,0.0,56.0,56.0,56.0,0.0,,,,,1
24340,20.0,20.0,20.0,0.0,,,,,37.0,37.0,37.0,0.0,,,,,1
24292,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,,,,,,,,,1
24302,3.0,3.0,3.0,0.0,,,,,,,,,,,,,1
24307,,,,,,,,,,,,,,,,,1
24312,3.0,3.0,3.0,0.0,10.0,10.0,10.0,0.0,,,,,,,,,1
23310,29.0,29.0,29.0,0.0,29.0,29.0,29.0,0.0,,,,,,,,,1
23313,,,,,3.0,3.0,3.0,0.0,,,,,20.0,20.0,20.0,0.0,1
23230,30.0,30.0,30.0,0.0,104.0,104.0,104.0,0.0,134.0,134.0,134.0,0.0,,,,,1
23232,3.0,3.0,3.0,0.0,6.0,6.0,6.0,0.0,,,,,,,,,1
23607,,,,,,,,,,,,,,,,,1
23665,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,30.0,30.0,30.0,0.0,,,,,1
24317,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,,,,,,,,1
24318,,,,,,,,,,,,,,,,,1
23480,1.0,1.0,1.0,0.0,,,,,1682.0,1682.0,1682.0,0.0,,,,,1
23457,,,,,,,,,,,,,,,,,1
23845,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,,,,,1
23868,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,20.0,20.0,20.0,0.0,,,,,1
23875,,,,,,,,,68.0,68.0,68.0,0.0,,,,,1
23315,,,,,,,,,,,,,,,,,1
23316,12.0,12.0,12.0,0.0,52.0,52.0,52.0,0.0,106.0,106.0,106.0,0.0,,,,,1
23306,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,28.0,28.0,28.0,0.0,,,,,1
24148,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,1
24150,,,,,,,,,48.0,48.0,48.0,0.0,,,,,1
24156,,,,,,,,,,,,,,,,,1
24161,,,,,,,,,,,,,,,,,1
24348,,,,,13.0,13.0,13.0,0.0,33.0,33.0,33.0,0.0,,,,,1
23510,49.0,49.0,49.0,0.0,49.0,49.0,49.0,0.0,712.0,712.0,712.0,0.0,,,,,1
23513,7.0,7.0,7.0,0.0,,,,,,,,,,,,,1
23466,,,,,,,,,33.0,33.0,33.0,0.0,,,,,1
24428,,,,,,,,,,,,,,,,,1
24435,,,,,,,,,,,,,,,,,1
24381,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,1
24406,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
24412,,,,,,,,,30.0,30.0,30.0,0.0,,,,,1
24553,,,,,,,,,7.0,7.0,7.0,0.0,,,,,1
23030,3.0,3.0,3.0,0.0,7.0,7.0,7.0,0.0,18.0,18.0,18.0,0.0,,,,,1
23035,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,57.0,57.0,57.0,0.0,,,,,1
23410,,,,,,,,,,,,,,,,,1
23432,2.0,2.0,2.0,0.0,,,,,57.0,57.0,57.0,0.0,,,,,1
23433,1.0,1.0,1.0,0.0,,,,,49.0,49.0,49.0,0.0,,,,,1
24448,,,,,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,,,,,1
24451,,,,,,,,,,,,,,,,,1
24457,,,,,,,,,,,,,,,,,1
24460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1
24463,,,,,,,,,,,,,,,,,1
23165,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,21.0,21.0,21.0,0.0,,,,,1
23181,6.0,6.0,6.0,0.0,,,,,43.0,43.0,43.0,0.0,,,,,1
23187,4.0,4.0,4.0,0.0,6.0,6.0,6.0,0.0,35.0,35.0,35.0,0.0,,,,,1
23127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1
23140,,,,,,,,,,,,,,,,,1
23141,603.0,603.0,603.0,0.0,,,,,608.0,608.0,608.0,0.0,,,,,1
23109,2.0,2.0,2.0,0.0,,,,,,,,,,,,,1
23407,,,,,,,,,,,,,,,,,1
24315,,,,,,,,,,,,,,,,,1
24258,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,28.0,28.0,28.0,0.0,29.0,29.0,29.0,0.0,1
24281,14.0,14.0,14.0,0.0,14.0,14.0,14.0,0.0,,,,,76.0,76.0,76.0,0.0,1
24283,3.0,3.0,3.0,0.0,,,,,,,,,,,,,1
24290,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,14.0,14.0,14.0,0.0,,,,,1
24469,,,,,,,,,,,,,,,,,1
23227,-1.0,-1.0,-1.0,0.0,,,,,34.0,34.0,34.0,0.0,,,,,1
23156,3.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,54.0,54.0,54.0,0.0,,,,,1
24485,,,,,3.0,3.0,3.0,0.0,,,,,,,,,1
24639,,,,,,,,,,,,,,,,,1
24646,,,,,,,,,,,,,,,,,1
24655,,,,,1.0,1.0,1.0,0.0,68.0,68.0,68.0,0.0,,,,,1
24656,,,,,,,,,,,,,,,,,1
24657,,,,,,,,,57.0,57.0,57.0,0.0,,,,,1
22830,,,,,,,,,,,,,,,,,1
22747,6.0,6.0,6.0,0.0,,,,,103.0,103.0,103.0,0.0,,,,,1
23089,,,,,6.0,6.0,6.0,0.0,63.0,63.0,63.0,0.0,64.0,64.0,64.0,0.0,1
24562,0.0,0.0,0.0,0.0,,,,,68.0,68.0,68.0,0.0,,,,,1
24530,,,,,7.0,7.0,7.0,0.0,58.0,58.0,58.0,0.0,,,,,1
24534,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,62.0,62.0,62.0,0.0,,,,,1
24506,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,,,,,,,,,1
24520,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,34.0,34.0,34.0,0.0,,,,,1
24527,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
24484,,,,,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,,,,,1
22949,,,,,,,,,,,,,,,,,1
22906,,,,,,,,,,,,,,,,,1
22846,4.0,4.0,4.0,0.0,7.0,7.0,7.0,0.0,9.0,9.0,9.0,0.0,,,,,1
22847,,,,,,,,,52.0,52.0,52.0,0.0,,,,,1
22832,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,,,,,1
22834,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,30.0,30.0,30.0,0.0,,,,,1
23062,,,,,,,,,,,,,,,,,1
23085,0.0,0.0,0.0,0.0,,,,,35.0,35.0,35.0,0.0,50.0,50.0,50.0,0.0,1
23050,,,,,,,,,,,,,,,,,1
23058,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,42.0,42.0,42.0,0.0,,,,,1
23004,,,,,,,,,,,,,,,,,1
23005,,,,,,,,,,,,,,,,,1
23009,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,81.0,81.0,81.0,0.0,,,,,1
23023,,,,,3.0,3.0,3.0,0.0,51.0,51.0,51.0,0.0,,,,,1
22957,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,55.0,55.0,55.0,0.0,,,,,1
22967,,,,,,,,,,,,,,,,,1
24592,,,,,,,,,,,,,,,,,1
24595,,,,,,,,,,,,,,,,,1
24602,,,,,,,,,41.0,41.0,41.0,0.0,47.0,47.0,47.0,0.0,1
24569,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,28.0,28.0,28.0,0.0,,,,,1
24571,,,,,,,,,,,,,,,,,1
24576,,,,,5.0,5.0,5.0,0.0,41.0,41.0,41.0,0.0,,,,,1
24983,2.0,2.0,2.0,0.0,7.0,7.0,7.0,0.0,16.0,16.0,16.0,0.0,,,,,1
25044,,,,,,,,,,,,,,,,,1
22560,0.0,0.0,0.0,0.0,,,,,12.0,12.0,12.0,0.0,20.0,20.0,20.0,0.0,1
22565,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,14.0,14.0,14.0,0.0,,,,,1
22567,,,,,,,,,,,,,,,,,1
22572,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,63.0,63.0,63.0,0.0,,,,,1
22820,,,,,,,,,13.0,13.0,13.0,0.0,43.0,43.0,43.0,0.0,1
24658,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
24627,,,,,,,,,,,,,,,,,1
24628,,,,,,,,,36.0,36.0,36.0,0.0,,,,,1
22938,21.0,21.0,21.0,0.0,14.0,14.0,14.0,0.0,,,,,,,,,1
22697,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,23.0,23.0,23.0,0.0,,,,,1
22637,,,,,11.0,11.0,11.0,0.0,47.0,47.0,47.0,0.0,,,,,1
22639,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,,,,,,,,1
22643,3.0,3.0,3.0,0.0,,,,,41.0,41.0,41.0,0.0,,,,,1
22580,21.0,21.0,21.0,0.0,36.0,36.0,36.0,0.0,69.0,69.0,69.0,0.0,,,,,1
22604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,0.0,,,,,1
22610,,,,,,,,,30.0,30.0,30.0,0.0,,,,,1
22803,,,,,,,,,,,,,,,,,1
22807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,38.0,0.0,,,,,1
22726,,,,,,,,,,,,,,,,,1
22733,5.0,5.0,5.0,0.0,,,,,,,,,,,,,1
22735,,,,,,,,,,,,,,,,,1
22711,,,,,,,,,28.0,28.0,28.0,0.0,,,,,1
22716,,,,,,,,,,,,,,,,,1
22722,,,,,,,,,,,,,,,,,1
24976,,,,,,,,,,,,,,,,,1
24910,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,35.0,35.0,35.0,0.0,,,,,1
24915,,,,,,,,,,,,,,,,,1
24920,,,,,4.0,4.0,4.0,0.0,,,,,,,,,1
24931,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,56.0,56.0,56.0,0.0,57.0,57.0,57.0,0.0,1
24715,,,,,,,,,,,,,,,,,1
24739,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,,,,,,,,,1
24808,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,43.0,43.0,43.0,0.0,,,,,1
22534,,,,,,,,,,,,,,,,,1
22535,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,15.0,15.0,15.0,0.0,,,,,1
25206,4.0,4.0,4.0,0.0,43.0,43.0,43.0,0.0,97.0,97.0,97.0,0.0,,,,,1
24935,4.0,4.0,4.0,0.0,7.0,7.0,7.0,0.0,,,,,,,,,1
24941,6.0,6.0,6.0,0.0,2.0,2.0,2.0,0.0,49.0,49.0,49.0,0.0,,,,,1
24946,1.0,1.0,1.0,0.0,,,,,16.0,16.0,16.0,0.0,,,,,1
24966,,,,,3.0,3.0,3.0,0.0,48.0,48.0,48.0,0.0,,,,,1
24974,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,,,,,1
22482,,,,,,,,,,,,,,,,,1
22385,,,,,,,,,,,,,,,,,1
22404,31.0,31.0,31.0,0.0,31.0,31.0,31.0,0.0,52.0,52.0,52.0,0.0,,,,,1
22416,,,,,,,,,2.0,2.0,2.0,0.0,,,,,1
22308,24.0,24.0,24.0,0.0,24.0,24.0,24.0,0.0,44.0,44.0,44.0,0.0,,,,,1
22652,32.0,32.0,32.0,0.0,,,,,62.0,62.0,62.0,0.0,,,,,1
22195,,,,,,,,,,,,,,,,,1
22201,,,,,5.0,5.0,5.0,0.0,47.0,47.0,47.0,0.0,,,,,1
25045,,,,,4.0,4.0,4.0,0.0,27.0,27.0,27.0,0.0,,,,,1
25070,8.0,8.0,8.0,0.0,,,,,,,,,,,,,1
25071,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,70.0,70.0,70.0,0.0,,,,,1
22433,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,49.0,49.0,49.0,0.0,,,,,1
22435,1.0,1.0,1.0,0.0,6.0,6.0,6.0,0.0,50.0,50.0,50.0,0.0,,,,,1
22463,,,,,,,,,,,,,,,,,1
22471,,,,,3.0,3.0,3.0,0.0,68.0,68.0,68.0,0.0,,,,,1
22473,,,,,,,,,,,,,,,,,1
25529,5.0,5.0,5.0,0.0,11.0,11.0,11.0,0.0,,,,,,,,,1
25422,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,37.0,37.0,37.0,0.0,,,,,1
25430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,,,,1
25312,,,,,,,,,,,,,,,,,1
25313,1.0,1.0,1.0,0.0,,,,,58.0,58.0,58.0,0.0,,,,,1
25411,,,,,,,,,,,,,,,,,1
25213,23.0,23.0,23.0,0.0,23.0,23.0,23.0,0.0,65.0,65.0,65.0,0.0,,,,,1
25245,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,41.0,41.0,41.0,0.0,,,,,1
21758,,,,,,,,,,,,,,,,,1
21769,,,,,3.0,3.0,3.0,0.0,36.0,36.0,36.0,0.0,,,,,1
21774,17.0,17.0,17.0,0.0,17.0,17.0,17.0,0.0,30.0,30.0,30.0,0.0,,,,,1
21779,109.0,109.0,109.0,0.0,109.0,109.0,109.0,0.0,159.0,159.0,159.0,0.0,,,,,1
21784,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,,,,,,,,,1
22209,,,,,12.0,12.0,12.0,0.0,,,,,,,,,1
22213,3.0,3.0,3.0,0.0,8.0,8.0,8.0,0.0,65.0,65.0,65.0,0.0,66.0,66.0,66.0,0.0,1
22301,8.0,8.0,8.0,0.0,10.0,10.0,10.0,0.0,,,,,,,,,1
21795,,,,,,,,,,,,,,,,,1
21811,,,,,,,,,,,,,,,,,1
21842,16.0,16.0,16.0,0.0,22.0,22.0,22.0,0.0,43.0,43.0,43.0,0.0,,,,,1
21917,19.0,19.0,19.0,0.0,19.0,19.0,19.0,0.0,41.0,41.0,41.0,0.0,,,,,1
22005,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
21704,,,,,,,,,,,,,,,,,1
21716,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,36.0,36.0,36.0,0.0,,,,,1
21755,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,54.0,54.0,54.0,0.0,,,,,1
24872,3.0,3.0,3.0,0.0,7.0,7.0,7.0,0.0,82.0,82.0,82.0,0.0,,,,,1
24873,,,,,,,,,,,,,,,,,1
25508,1.0,1.0,1.0,0.0,6.0,6.0,6.0,0.0,,,,,,,,,1
25521,,,,,,,,,368.0,368.0,368.0,0.0,,,,,1
22058,14.0,14.0,14.0,0.0,29.0,29.0,29.0,0.0,121.0,121.0,121.0,0.0,,,,,1
22027,,,,,,,,,,,,,,,,,1
22034,3.0,3.0,3.0,0.0,,,,,,,,,,,,,1
21793,,,,,10.0,10.0,10.0,0.0,64.0,64.0,64.0,0.0,72.0,72.0,72.0,0.0,1
26711,,,,,,,,,40.0,40.0,40.0,0.0,,,,,1
26743,1.0,1.0,1.0,0.0,9.0,9.0,9.0,0.0,57.0,57.0,57.0,0.0,,,,,1
26756,,,,,1.0,1.0,1.0,0.0,20.0,20.0,20.0,0.0,,,,,1
21703,1.0,1.0,1.0,0.0,47.0,47.0,47.0,0.0,,,,,,,,,1
21228,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,75.0,75.0,75.0,0.0,,,,,1
21239,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,37.0,37.0,37.0,0.0,,,,,1
21244,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
21530,,,,,,,,,2.0,2.0,2.0,0.0,,,,,1
25530,,,,,0.0,0.0,0.0,0.0,,,,,,,,,1
25541,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,36.0,36.0,36.0,0.0,,,,,1
25570,3.0,3.0,3.0,0.0,10.0,10.0,10.0,0.0,,,,,,,,,1
25601,,,,,,,,,,,,,,,,,1
25625,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,23.0,23.0,23.0,0.0,24.0,24.0,24.0,0.0,1
25630,,,,,,,,,12.0,12.0,12.0,0.0,,,,,1
26679,,,,,0.0,0.0,0.0,0.0,62.0,62.0,62.0,0.0,,,,,1
26710,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1
25818,15.0,15.0,15.0,0.0,15.0,15.0,15.0,0.0,83.0,83.0,83.0,0.0,,,,,1
25823,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,49.0,49.0,49.0,0.0,,,,,1
25831,14.0,14.0,14.0,0.0,14.0,14.0,14.0,0.0,62.0,62.0,62.0,0.0,,,,,1
25651,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
25661,,,,,8.0,8.0,8.0,0.0,34.0,34.0,34.0,0.0,35.0,35.0,35.0,0.0,1
25670,7.0,7.0,7.0,0.0,2.0,2.0,2.0,0.0,,,,,,,,,1
25702,,,,,,,,,,,,,,,,,1
25802,,,,,22.0,22.0,22.0,0.0,39.0,39.0,39.0,0.0,,,,,1
25248,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,27.0,27.0,27.0,0.0,,,,,1
25303,,,,,13.0,13.0,13.0,0.0,,,,,,,,,1
25845,4.0,4.0,4.0,0.0,12.0,12.0,12.0,0.0,,,,,,,,,1
25847,2.0,2.0,2.0,0.0,7.0,7.0,7.0,0.0,58.0,58.0,58.0,0.0,,,,,1
25865,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,34.0,34.0,34.0,0.0,,,,,1
25882,,,,,,,,,,,,,,,,,1
25908,,,,,,,,,,,,,,,,,1
25909,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
26241,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
26260,,,,,,,,,,,,,,,,,1
25918,2.0,2.0,2.0,0.0,16.0,16.0,16.0,0.0,,,,,,,,,1
25921,2.0,2.0,2.0,0.0,,,,,7.0,7.0,7.0,0.0,,,,,1
25922,,,,,,,,,,,,,,,,,1
25958,3.0,3.0,3.0,0.0,,,,,61.0,61.0,61.0,0.0,,,,,1
25962,,,,,,,,,,,,,,,,,1
27127,21.0,21.0,21.0,0.0,21.0,21.0,21.0,0.0,68.0,68.0,68.0,0.0,,,,,1
26505,11.0,11.0,11.0,0.0,7.0,7.0,7.0,0.0,54.0,54.0,54.0,0.0,55.0,55.0,55.0,0.0,1
26508,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,,,,,,,,,1
26041,,,,,45.0,45.0,45.0,0.0,65.0,65.0,65.0,0.0,66.0,66.0,66.0,0.0,1
26104,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,50.0,50.0,50.0,0.0,,,,,1
26164,11.0,11.0,11.0,0.0,,,,,90.0,90.0,90.0,0.0,,,,,1
